node,degree,clustering,closeness_centrality,betweenness_centrality,eccentricity
Artigo 731,2,0,0.00972324029423411,1.023936424147162e-05,6
Artigo 732,2,0,0.00972324029423411,1.023936424147162e-05,6
Artigo 756,2,0,0.00972324029423411,2.3745192719852836e-05,6
Artigo 757,2,0,0.00972324029423411,1.058690804911355e-05,6
Artigo 758,2,0,0.00972324029423411,1.0288162831583409e-05,6
Artigo 759,2,0,0.00972324029423411,1.0288162831583409e-05,6
Artigo 760,2,0,0.00972324029423411,1.058690804911355e-05,6
Artigo 761,2,0,0.00972324029423411,1.0288162831583409e-05,6
Artigo 762,2,0,0.00972324029423411,1.5376418414409013e-05,6
Artigo 763,2,0,0.00972324029423411,1.0288162831583409e-05,6
Artigo 764,2,0,0.00972324029423411,1.0288162831583409e-05,6
Artigo 765,2,0,0.00972324029423411,1.0288162831583409e-05,6
Artigo 766,2,0,0.00972324029423411,1.058690804911355e-05,6
Artigo 767,2,0,0.00972324029423411,1.27678724817416e-05,6
Artigo 768,2,0,0.00972324029423411,1.0288162831583409e-05,6
Artigo 769,2,0,0.00972324029423411,1.5376418414409013e-05,6
Artigo 770,2,0,0.00972324029423411,1.0288162831583409e-05,6
Artigo 771,2,0,0.00972324029423411,2.5851674797590364e-05,6
Artigo 772,3,0,0.00972324029423411,2.1222012747772298e-05,6
Artigo 773,2,0,0.00972324029423411,1.0288162831583409e-05,6
Artigo 774,2,0,0.00972324029423411,1.0288162831583409e-05,6
Artigo 775,2,0,0.00972324029423411,1.0288162831583409e-05,6
Artigo 776,2,0,0.00972324029423411,1.0288162831583409e-05,6
Artigo 817,2,0,0.00972324029423411,2.035302233130246e-05,6
Artigo 818,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 819,3,0,0.00972324029423411,2.1616478051759238e-05,6
Artigo 820,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 821,2,0,0.00972324029423411,2.035302233130246e-05,6
Artigo 822,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 823,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 824,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 825,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 996,2,0,0.00972324029423411,2.3317536092226292e-05,6
Artigo 997,2,0,0.00972324029423411,1.0316034834702101e-05,6
Artigo 998,2,0,0.00972324029423411,1.1821723956991419e-05,6
Artigo 999,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.051,2,0,0.00972324029423411,2.114095786542478e-05,6
Artigo 1.052,2,0,0.00972324029423411,1.1033773775272354e-05,6
Artigo 1.053,2,0,0.00972324029423411,1.0386720551470192e-05,6
Artigo 1.122,2,0,0.00972324029423411,3.052953349695369e-05,6
Artigo 1.123,2,0,0.00972324029423411,1.0631827753448649e-05,6
Artigo 1.124,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.168,2,0,0.00972324029423411,2.035302233130246e-05,6
Artigo 1.169,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.170,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.227,2,0,0.00972324029423411,2.0982257223215248e-05,6
Artigo 1.228,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.229,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.230,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.231,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.237,2,0,0.00967438299803101,2.8909912394943174e-05,6
Artigo 1.238,2,0,0.00972324029423411,1.0742892981743632e-05,6
Artigo 1.239,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.240,3,0,0.00972324029423411,3.1023581341783426e-05,6
Artigo 1.241,2,0,0.00972324029423411,2.035302233130246e-05,6
Artigo 1.242,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.243,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.259,2,0,0.00972324029423411,1.0253310222528115e-05,6
Artigo 1.260,2,0,0.00972324029423411,1.017651116565123e-05,6
